timestamp,abertura,alta,baixa,fechamento,volume,SMA_20,SMA_50,EMA_20,EMA_50,RSI_14,MACD,MACD_Signal,MACD_Hist,BB_Superior,BB_Medio,BB_Inferior
2025-03-26 07:59:00,0.895415,0.895515,0.895415,0.895425,0,0.8955715,0.8957358000000001,0.8956078240045575,0.8956984924995677,50.806451612903885,-3.212393605989128e-05,-1.5464781128092374e-05,-1.6659154931798904e-05,0.8959359332298021,0.8955715,0.8952070667701978
2025-03-26 08:00:00,0.895425,0.895515,0.895415,0.895495,0,0.8955785,0.8957335999999999,0.8955970788612664,0.8956905124015455,51.200000000003115,-3.7241096556117625e-05,-1.9820044213697424e-05,-1.74210523424202e-05,0.8959305929901615,0.8955785,0.8952264070098386
2025-03-26 08:01:00,0.895485,0.895685,0.895475,0.895635,0,0.8955884999999999,0.8957274,0.8956006903982886,0.8956883354446222,46.491228070172355,-2.9657776756231158e-05,-2.1787590722204174e-05,-7.870186034026984e-06,0.8959347445135947,0.8955884999999999,0.8952422554864051
2025-03-26 08:02:00,0.895625,0.895675,0.895585,0.895645,0,0.895605,0.8957212,0.8956049103603563,0.8956866360154213,48.64864864865,-2.2580728175070064e-05,-2.1946218212777352e-05,-6.345099622927117e-07,0.8959269676349126,0.895605,0.8952830323650873
2025-03-26 08:03:00,0.895645,0.895685,0.895585,0.895645,0,0.8956175,0.8957104000000001,0.8956087284212747,0.8956850032305028,35.95505617977949,-1.6778701757647063e-05,-2.0912714921751294e-05,4.134013164104231e-06,0.8959241885957666,0.8956175,0.8953108114042333
2025-03-26 08:04:00,0.895645,0.895765,0.895615,0.895635,0,0.8956335000000001,0.8956978000000001,0.8956112304763915,0.8956830423195028,43.24324324324567,-1.2839465085789925e-05,-1.9298064954559022e-05,6.458599868769097e-06,0.8959051247412082,0.8956335000000001,0.895361875258792
2025-03-26 08:05:00,0.895645,0.896035,0.895645,0.896035,0,0.8956649999999999,0.8956954,0.8956515894786399,0.8956968445814831,63.15789473684262,2.2301982051331493e-05,-1.0978055553380922e-05,3.3280037604712414e-05,0.895969215989812,0.8956649999999999,0.8953607840101878
2025-03-26 08:06:00,0.896035,0.896265,0.896035,0.896205,0,0.895702,0.8956982000000001,0.8957042952425789,0.8957167722449545,67.69230769230572,6.314155479913985e-05,3.8458665171232334e-06,5.929568828201662e-05,0.8960758336247363,0.895702,0.8953281663752637
2025-03-26 08:07:00,0.896195,0.896255,0.896175,0.896255,0,0.895729,0.8957004,0.8957567433147142,0.8957378792157407,68.8888888888867,9.840741316513579e-05,2.275817584672575e-05,7.564923731841005e-05,0.896177360757044,0.895729,0.895280639242956
2025-03-26 08:08:00,0.896245,0.896325,0.896225,0.896295,0,0.8957599999999999,0.8957042,0.89580800585617,0.8957597270896331,68.42105263157632,0.00012810679036734385,4.382789875084937e-05,8.427889161649447e-05,0.896273624888758,0.8957599999999999,0.8952463751112418
2025-03-26 08:09:00,0.896295,0.896325,0.896245,0.896325,0,0.8957815,0.8957124000000001,0.8958572433936777,0.8957818946547456,75.80645161290164,0.00015230878913985446,6.55240768286504e-05,8.678471231120407e-05,0.896351791707475,0.8957815,0.895211208292525
2025-03-26 08:10:00,0.896325,0.896435,0.896235,0.896255,0,0.8958074999999999,0.8957187999999999,0.8958951249752322,0.8958004478055399,78.33333333332655,0.00016395071080910206,8.520940362474073e-05,7.874130718436133e-05,0.8964150619959995,0.8958074999999999,0.8951999380040002
2025-03-26 08:11:00,0.896265,0.896495,0.896205,0.896495,0,0.8958455000000001,0.895732,0.895952255929972,0.8958276851464992,81.69014084506392,0.00019034878948642753,0.0001062372807970781,8.411150868934943e-05,0.8965248022736478,0.8958455000000001,0.8951661977263523
2025-03-26 08:12:00,0.896505,0.896595,0.896445,0.896595,0,0.8958879999999999,0.895746,0.896013469650927,0.8958577759250679,94.0298507462637,0.00021683903586355857,0.0001283576318103742,8.848140405318437e-05,0.8966429722895114,0.8958879999999999,0.8951330277104884
2025-03-26 08:13:00,0.896615,0.896665,0.896585,0.896615,0,0.8959315,0.8957634,0.8960707582556006,0.89588747098683,94.07407407406896,0.0002367178438700268,0.00015002967422230473,8.668816964772208e-05,0.8967494119757256,0.8959315,0.8951135880242744
2025-03-26 08:14:00,0.896625,0.896735,0.896505,0.896705,0,0.8959765000000001,0.8957782000000001,0.8961311622312577,0.8959195309481307,94.1605839416004,0.0002567742564806297,0.00017137859067396972,8.539566580665996e-05,0.8968613972584035,0.8959765000000001,0.8950916027415966
2025-03-26 08:15:00,0.896695,0.896795,0.896615,0.896655,0,0.8960250000000001,0.8957928000000002,0.8961810515425664,0.8959483728717335,89.84374999999552,0.0002655731637226655,0.00019021750528370887,7.535565843895661e-05,0.8969481296881195,0.8960250000000001,0.8951018703118806
2025-03-26 08:16:00,0.896665,0.896785,0.896635,0.896635,0,0.8960779999999999,0.8958098,0.8962242847289886,0.8959752994257832,88.3720930232496,0.00026784497807208485,0.00020574299984138408,6.210197823070077e-05,0.8970139734589315,0.8960779999999999,0.8951420265410683
2025-03-26 08:17:00,0.896635,0.896985,0.896605,0.896965,0,0.8961465000000001,0.8958314,0.8962948290405135,0.8960141112130074,90.74074074073592,0.00029289731150194953,0.0002231738621734972,6.972344932845234e-05,0.8971328121103292,0.8961465000000001,0.8951601878896709
2025-03-26 08:18:00,0.896965,0.897065,0.896885,0.897055,0,0.8962285,0.895854,0.8963672262747503,0.8960549303811248,91.76470588235195,0.00031636683414337785,0.00024181245656747333,7.455437757590452e-05,0.8972313018642691,0.8962285,0.8952256981357308
2025-03-26 08:19:00,0.897055,0.897095,0.896915,0.896955,0,0.8963050000000001,0.8958758,0.8964232047247741,0.8960902272289238,82.85714285713584,0.00032317210875831837,0.0002580843870056424,6.508772175267599e-05,0.8972828386477772,0.8963050000000001,0.895327161352223
2025-03-26 08:20:00,0.896945,0.896975,0.896845,0.896865,0,0.8963734999999999,0.8958964,0.8964652804652717,0.8961206104748484,74.9999999999979,0.0003176415164051205,0.00026999581288553805,4.7645703519582456e-05,0.8973031807601661,0.8963734999999999,0.8954438192398337
2025-03-26 08:21:00,0.896845,0.896865,0.896675,0.896715,0,0.8964275,0.8959152,0.8964890632781031,0.8961439198679916,66.19718309859111,0.00029772277292161586,0.0002755412048927536,2.218156802886225e-05,0.8973002904433073,0.8964275,0.8955547095566928
2025-03-26 08:22:00,0.896715,0.896795,0.896675,0.896685,0,0.8964795000000001,0.8959322000000001,0.8965077239182837,0.8961651386966979,63.82978723404021,0.00027633090525869264,0.00027569914496594145,6.317602927511886e-07,0.8972766389630105,0.8964795000000001,0.8956823610369897
2025-03-26 08:23:00,0.896695,0.896925,0.896695,0.896895,0,0.896542,0.8959554,0.8965446073546377,0.8961937607085921,67.92452830188324,0.0002731739615882134,0.00027519410829039584,-2.0201467021824498e-06,0.8972552461006085,0.896542,0.8958287538993914
2025-03-26 08:24:00,0.896955,0.897015,0.896885,0.896945,0,0.8966075,0.8959847999999999,0.8965827399875294,0.896223221072961,71.97452229299007,0.0002715760830819258,0.00027447050324870185,-2.8944201667760222e-06,0.8972005074997585,0.8966075,0.8960144925002415
2025-03-26 08:25:00,0.896935,0.896935,0.896685,0.896695,0,0.8966405,0.8960088,0.8965934314172884,0.8962417222073548,56.32911392404939,0.0002472862798865716,0.00026903365857627583,-2.1747378689704235e-05,0.8971693507898525,0.8966405,0.8961116492101474
2025-03-26 08:26:00,0.896725,0.896835,0.896645,0.896825,0,0.8966715000000001,0.896032,0.8966154855680228,0.896264595846282,57.14285714285517,0.0002358081004042445,0.00026238854694186957,-2.658044653762508e-05,0.8971643232308597,0.8966715000000001,0.8961786767691404
